ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
20601,24156,9785,11146,155,880,11,48,849,1282,21857,343,11543,5368,Waldorf,MD
20602,24955,8466,13054,116,731,15,58,999,1516,20607,148,8965,4380,Waldorf,MD
20603,28967,9625,15025,98,1446,24,65,1091,1593,23698,128,10561,4796,Waldorf,MD
20606,431,377,45,1,4,0,0,0,4,800,8,0,800,Abell,MD
20607,9802,2165,6321,33,560,3,6,234,480,26794,297,16746,7247,Accokeek,MD
20608,919,438,453,5,2,0,0,9,12,975,18,500,430,Aquasco,MD
20609,1120,1009,82,2,1,1,0,15,10,50,1,0,50,Avenue,MD
20611,1078,798,215,5,10,0,0,33,17,278,4,0,278,Bel Alton,MD
20612,261,245,12,0,0,0,0,1,3,0,0,0,0,Benedict,MD
20613,11860,4044,6786,106,186,4,8,321,405,11657,75,8864,1174,Brandywine,MD
20615,405,352,32,2,3,1,0,13,2,200,1,0,200,Broomes Island,MD
20616,5857,1891,3309,32,165,2,1,213,244,5238,22,3777,521,Bryans Road,MD
20617,781,587,163,3,5,0,0,14,9,1155,6,0,1155,Bryantown,MD
20618,607,523,65,4,1,0,3,4,7,520,7,0,520,Bushwood,MD
