"ZCTA","Total","White","Black","AmInd or Alaskan Native","Asian","PacIslander or HI Native","Other Race","Mixed","Hispanic","Total Contribs","Number Contribs","To Dems","To Repubs","Name","State"
"25320","6084","5992","13","14","16","2","1","22","24","5600","19","3360","1566","Charleston","WV"
"25401","14622","11106","1885","39","111","9","19","492","961","29475","306","9788","8438","Martinsburg","WV"
"25403","12591","10797","813","15","223","1","8","237","497","24879","147","5251","14570","Martinsburg","WV"
"25404","19551","16012","2020","41","158","3","21","580","716","8859","92","2024","4515","Martinsburg","WV"
"25405","12029","10139","944","27","78","7","15","298","521","3676","80","1653","1400","Martinsburg","WV"
"25411","12633","12248","50","27","35","4","9","145","115","16115","189","5718","9047","Berkeley Springs","WV"
"25413","7508","6818","281","11","36","0","6","137","219","1759","41","443","1256","Bunker Hill","WV"
"25414","17024","13910","1342","53","260","10","47","386","1016","37012","347","22485","8688","Charles Town","WV"
"25419","9251","8467","293","22","64","2","6","154","243","9939","150","3804","3399","Falling Waters","WV"
"25420","4024","3842","39","17","15","0","2","48","61","3861","62","762","2479","Gerrardstown","WV"
"25422","1700","1642","7","6","8","0","1","14","22","2153","7","653","1500","Great Cacapon","WV"
"25425","12835","11775","306","23","111","5","14","227","374","27838","362","18892","8322","Harpers Ferry","WV"
"25427","14322","13557","255","50","53","6","1","169","231","6367","71","3803","1703","Hedgesville","WV"
"25428","10776","9501","463","25","79","1","24","237","446","5218","85","2173","1920","Inwood","WV"
"25430","8112","6924","607","19","84","2","5","155","316","19905","75","1106","16856","Kearneysville","WV"
"25431","453","434","3","4","2","0","0","1","9","1000","1","0","1000","Levels","WV"
"25432","121","115","0","0","3","0","0","0","3","0","0","0","0","Millville","WV"
"25434","2521","2414","25","9","8","1","0","31","33","1148","18","748","0","Paw Paw","WV"
"25437","212","203","3","0","0","0","0","6","0","0","0","0","0","Points","WV"
"25438","6266","4550","800","6","61","12","5","198","634","1404","24","409","741","Ranson","WV"
"25442","1925","1738","70","2","14","0","0","55","46","3425","18","2725","475","Shenandoah Junction","WV"
"25443","7445","6516","467","13","115","1","7","167","159","50740","395","22359","27220","Shepherdstown","WV"
"25444","605","592","2","0","0","0","0","3","8","4410","33","0","3460","Slanesville","WV"
"25446","1463","1300","112","1","1","0","0","25","24","334","5","84","250","Summit Point","WV"
"25501","1130","1125","0","2","0","0","0","0","3","56","3","0","56","Alkol","WV"
"25502","1034","1009","0","1","3","0","0","16","5","980","26","480","500","Apple Grove","WV"
"25503","729","724","0","0","0","0","0","3","2","0","0","0","0","Ashton","WV"
"25504","12661","12160","166","24","97","3","3","120","88","14923","77","3915","8168","Barboursville","WV"
"25505","477","467","2","0","0","0","0","0","8","0","0","0","0","Big Creek","WV"
"25506","5037","4954","3","7","8","0","0","48","17","78","4","0","70","Branchland","WV"
"25507","987","969","1","2","1","0","1","5","8","715","3","0","0","Ceredo","WV"
"25508","9837","9701","12","1","28","0","4","40","51","13628","43","624","3275","Chapmanville","WV"
"25510","5074","4972","16","4","12","0","3","39","28","9241","100","1609","4500","Culloden","WV"
"25511","1092","1080","0","0","2","0","0","7","3","0","0","0","0","Dunlow","WV"
"25512","1237","1219","0","2","1","0","0","11","4","0","0","0","0","East Lynn","WV"
"25514","4024","3971","3","6","3","0","1","24","16","0","0","0","0","Fort Gay","WV"
"25515","2335","2298","1","2","2","0","0","15","17","0","0","0","0","Gallipolis Ferry","WV"
"25517","2071","2042","1","1","0","0","0","23","4","600","2","0","0","Genoa","WV"
"25520","1561","1541","3","3","1","0","4","5","4","0","0","0","0","Glenwood","WV"
"25521","1101","1080","3","0","2","0","0","13","3","136","2","100","0","Griffithsville","WV"
"25523","2647","2610","3","2","1","0","1","19","11","5667","64","4627","1040","Hamlin","WV"
"25524","3486","3439","2","2","5","0","0","12","26","0","0","0","0","Harts","WV"
"25526","21902","20854","306","34","238","12","10","226","222","66062","305","23643","10943","Hurricane","WV"
"25529","1013","991","4","4","0","0","2","8","4","52","1","0","0","Julian","WV"
"25530","5877","5780","10","10","6","0","0","32","39","3900","18","95","2440","Kenova","WV"
"25534","282","275","0","0","0","0","0","5","2","427","7","427","0","Kiahsville","WV"
"25535","2783","2737","5","10","5","0","0","16","10","902","23","388","435","Lavalette","WV"
"25537","1993","1937","4","2","2","0","1","33","14","300","1","300","0","Lesage","WV"
"25540","290","285","0","0","1","0","2","2","0","0","0","0","0","Midkiff","WV"
"25541","9350","9162","23","12","26","0","0","67","60","9263","53","587","6465","Milton","WV"
"25545","4512","4399","19","8","20","1","4","41","20","7263","26","415","3998","Ona","WV"
"25547","969","953","2","5","4","0","0","0","5","1000","1","0","1000","Pecks Mill","WV"
"25550","9077","8738","86","13","58","12","0","121","49","12621","39","1605","2250","Point Pleasant","WV"
"25555","2325","2283","1","17","4","0","0","10","10","2239","9","0","914","Prichard","WV"
"25557","1754","1740","1","1","0","0","0","10","2","0","0","0","0","Ranger","WV"
"25559","2152","2114","0","6","4","0","0","19","9","195","3","0","0","Salt Rock","WV"
"25560","7997","7686","58","12","101","0","7","65","68","42195","132","11412","9761","Scott Depot","WV"
"25564","1250","1238","1","1","1","0","0","2","7","1078","27","0","785","Sod","WV"
"25565","651","643","1","0","1","0","0","0","6","0","0","0","0","Spurlockville","WV"
"25567","924","903","2","5","2","0","0","11","1","899","5","250","0","Sumerco","WV"
"25570","6640","6535","10","17","14","0","0","37","27","470","8","177","0","Wayne","WV"
"25571","2206","2167","1","2","2","0","0","18","16","129","8","129","0","West Hamlin","WV"
"25573","970","969","0","0","0","0","0","0","1","500","1","0","500","Yawkey","WV"
"25601","5206","4867","185","11","30","0","4","53","56","7018","17","60","2600","Logan","WV"
"25606","964","878","51","2","0","0","0","22","11","0","0","0","0","Accoville","WV"
"25607","1140","1089","33","0","6","0","0","9","3","0","0","0","0","Amherstdale","WV"
"25608","1004","994","1","0","0","0","0","5","4","0","0","0","0","Baisden","WV"
"25611","682","659","0","0","1","0","0","21","1","0","0","0","0","Bruno","WV"
"25617","999","974","8","1","2","0","0","13","1","0","0","0","0","Davin","WV"
"25621","2155","2142","2","0","2","0","0","7","2","441","2","0","0","Gilbert","WV"
"25624","480","473","0","0","0","0","0","1","6","0","0","0","0","Henlawson","WV"
"25625","1452","1327","94","2","3","0","2","10","14","719","6","0","400","Holden","WV"
"25628","539","502","29","0","0","0","0","5","3","261","8","261","0","Kistler","WV"
"25630","683","663","16","0","0","0","0","4","0","275","1","0","0","Lorado","WV"
"25632","834","824","4","1","0","0","0","5","0","100","2","0","0","Lyburn","WV"
"25634","771","729","21","0","0","0","0","13","8","0","0","0","0","Mallory","WV"
"25635","1227","1192","11","1","13","0","0","5","5","3955","26","0","925","Man","WV"
"25637","936","836","88","0","1","0","0","4","7","0","0","0","0","Mount Gay","WV"
"25638","1148","1057","58","4","0","0","0","10","19","50","1","50","0","Omar","WV"
"25639","608","601","3","0","0","0","0","2","2","0","0","0","0","Peach Creek","WV"
"25644","536","522","8","0","4","0","0","0","2","0","0","0","0","Sarah Ann","WV"
"25646","940","905","14","0","1","0","0","9","11","0","0","0","0","Stollings","WV"
"25647","768","746","4","1","0","0","1","8","8","0","0","0","0","Switzer","WV"
"25649","1397","1385","1","0","0","0","0","5","6","528","4","278","250","Verdunville","WV"
"25650","547","538","1","0","3","0","0","5","0","0","0","0","0","Verner","WV"
"25651","737","727","4","0","0","0","2","1","3","0","0","0","0","Wharncliffe","WV"
"25652","1608","1488","77","2","5","0","4","22","10","2506","6","0","0","Whitman","WV"
"25653","459","428","26","0","1","0","0","1","3","692","2","0","0","Wilkinson","WV"
"25654","310","301","5","0","0","0","0","1","3","0","0","0","0","Yolyn","WV"
"25661","6837","6352","323","5","29","0","1","91","36","7510","44","1929","4300","Williamson","WV"
"25666","654","649","1","1","0","0","0","2","1","0","0","0","0","Breeden","WV"
"25669","887","876","0","0","0","1","0","6","4","0","0","0","0","Crum","WV"
"25670","5829","5740","23","2","5","0","0","45","14","1998","11","0","1050","Delbarton","WV"
"25671","1286","1260","0","0","0","0","0","11","15","0","0","0","0","Dingess","WV"
"25672","408","407","0","0","0","0","0","0","1","0","0","0","0","Edgarton","WV"
