ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
60614,66617,55431,2548,58,3473,21,118,1209,3759,2895014,4418,1767112,776010,Chicago,IL
60615,40603,9931,24895,52,2755,3,112,1155,1700,389155,1890,352114,10830,Chicago,IL
60616,48433,11608,12447,50,19250,6,63,776,4233,197131,773,172914,15918,Chicago,IL
60617,84155,5635,46641,145,180,24,101,762,30667,45716,317,36618,1835,Chicago,IL
60618,92084,40088,2559,176,4741,18,226,1505,42771,320780,1905,209186,46124,Chicago,IL
60619,63825,331,61811,135,44,8,55,730,711,36806,218,34873,884,Chicago,IL
60620,72216,248,70531,99,50,4,34,578,672,31650,79,29447,500,Chicago,IL
60621,35912,132,34957,69,37,8,20,294,395,214,4,209,0,Chicago,IL
60622,52548,30367,3860,59,1910,16,112,935,15289,404461,2203,295359,41802,Chicago,IL
60623,92108,1653,30369,112,108,2,110,316,59438,15066,185,12355,228,Chicago,IL
60624,38105,509,35987,45,43,2,24,335,1160,9366,26,3972,205,Chicago,IL
60625,78651,33905,3297,165,10847,39,229,1865,28304,179234,1801,146649,6569,Chicago,IL
60626,50139,20679,12621,125,3565,34,164,1406,11545,118264,1795,102421,4058,Chicago,IL
60628,72202,841,68020,125,45,9,59,699,2404,24995,125,16563,5000,Chicago,IL
60629,113916,10534,25543,105,540,6,137,476,76575,12014,142,6507,1275,Chicago,IL
60630,54093,32721,599,123,5674,18,108,1074,13776,76339,725,42173,11140,Chicago,IL
60631,28641,24593,111,19,842,3,24,336,2713,1053006,562,23050,6897,Chicago,IL
60632,91326,9816,1485,82,2748,8,70,215,76902,25792,254,17380,4285,Chicago,IL
60633,12927,4728,2954,32,55,0,11,121,5026,2557,31,1499,0,Chicago,IL
60634,74298,44648,745,76,3046,11,93,767,24912,44664,346,26793,9080,Chicago,IL
60636,40916,183,39131,78,37,0,29,358,1100,5878,33,5051,257,Chicago,IL
60637,49503,6665,38652,68,1919,2,70,932,1195,296136,1212,254747,17045,Chicago,IL
60638,55026,30819,1975,52,445,3,49,328,21355,49063,360,32827,9911,Chicago,IL
60639,90407,6442,13712,98,916,16,144,440,68639,9027,141,4358,920,Chicago,IL
60640,65790,34381,11628,223,7923,14,179,1519,9923,520965,3379,390012,61040,Chicago,IL
60641,71663,28092,1552,134,2814,11,133,870,38057,83455,800,43906,15668,Chicago,IL
60642,18480,10651,1973,47,810,7,38,327,4627,213980,767,89866,67685,Chicago,IL
60643,49952,10706,36981,38,170,21,59,675,1302,165020,725,122781,16405,Chicago,IL
60644,48648,861,45559,82,163,5,17,378,1583,12676,76,10862,1430,Chicago,IL
60645,45274,20425,6573,118,7313,5,143,1168,9529,124044,919,60358,48576,Chicago,IL
60646,27177,20706,202,55,2492,3,32,566,3121,118518,662,75319,10783,Chicago,IL
60647,87291,30825,5237,127,2043,34,190,1138,47697,340959,2248,281640,34662,Chicago,IL
60649,46650,713,44188,121,115,3,78,611,821,157185,402,139193,500,Chicago,IL
60651,64267,1769,39973,80,204,21,58,406,21756,20270,146,5342,5465,Chicago,IL
60652,40959,6389,18525,47,288,0,25,375,15310,12453,183,9088,1150,Chicago,IL
60653,29908,717,27835,62,177,7,41,484,585,55599,184,52688,650,Chicago,IL
60654,14875,10966,1061,23,1636,2,38,284,865,1059985,1365,521346,224967,Chicago,IL
60655,28550,24075,2155,46,166,3,9,234,1862,24944,214,9506,7420,Chicago,IL
60656,27613,21822,447,31,1876,2,38,378,3019,25434,221,10537,3181,Chicago,IL
60657,65996,54304,1804,69,3868,27,90,1245,4589,1074436,3576,780636,127730,Chicago,IL
60659,38104,14622,3240,95,10853,14,157,1114,8009,124713,718,71433,44855,Chicago,IL
60660,42752,21929,6556,68,5376,9,109,1022,7683,209454,1921,181344,6685,Chicago,IL
60661,7792,4611,513,15,1921,3,46,226,457,570655,691,76836,141616,Chicago,IL
60706,23134,19445,116,22,1181,2,19,207,2142,5500,101,2680,2605,Harwood Heights,IL
60707,42920,24360,3234,43,1130,2,57,436,13658,46730,445,26664,7278,Elmwood Park,IL
60712,12590,7938,129,6,3338,0,34,286,859,158703,341,99003,45645,Lincolnwood,IL
60714,29931,21407,390,20,4983,1,44,487,2599,40471,245,21848,12945,Niles,IL
60803,22285,13506,3683,21,467,6,26,261,4315,11048,84,7133,1741,Alsip,IL
60804,84573,7757,2708,56,478,26,90,258,73200,14803,105,10049,2460,Cicero,IL
60805,19852,13630,3651,33,227,1,23,252,2035,31394,252,14729,11680,Evergreen Park,IL
60827,27946,866,25830,37,39,2,21,245,906,1571,36,1071,0,Riverdale,IL
60901,37157,19230,11454,61,220,4,46,696,5446,24458,165,3318,15236,Kankakee,IL
60910,538,463,15,2,2,0,0,4,52,490,3,0,490,Aroma Park,IL
60911,1372,1327,11,0,1,0,0,7,26,176,6,81,95,Ashkum,IL
60912,599,522,55,2,0,0,0,7,13,250,1,0,0,Beaverville,IL
60913,1617,1559,0,1,4,2,0,8,43,2060,35,635,336,Bonfield,IL
60914,29107,24258,2245,31,604,10,31,460,1468,47383,276,9519,15282,Bourbonnais,IL
60915,10774,9324,286,25,77,5,12,158,887,4432,73,2722,663,Bradley,IL
60917,574,564,0,0,0,0,0,5,5,0,0,0,0,Buckingham,IL
60918,898,849,1,1,0,0,0,11,36,250,1,250,0,Buckley,IL
60919,558,518,2,11,0,0,0,1,26,4170,62,3177,0,Cabery,IL
60920,178,171,0,0,0,0,0,0,7,984,20,984,0,Campus,IL
60921,1519,1398,2,1,18,0,5,25,70,250,1,0,0,Chatsworth,IL
60922,2459,2281,79,8,5,0,0,34,52,4182,21,1000,2485,Chebanse,IL
60924,1635,1578,9,0,5,0,1,9,33,1779,11,0,1105,Cissna Park,IL
60926,67,61,0,0,0,0,0,0,6,300,1,0,0,Claytonville,IL
60927,2404,2316,5,0,9,1,0,40,33,65,4,0,65,Clifton,IL
60928,709,694,2,2,2,0,0,2,7,300,5,0,300,Crescent City,IL
60929,730,716,2,0,1,0,1,2,8,300,1,0,0,Cullom,IL
60930,918,861,0,1,2,0,0,11,43,350,3,0,100,Danforth,IL
60931,615,581,8,3,5,0,0,3,15,0,0,0,0,Donovan,IL
60932,78,67,0,0,0,0,0,0,11,100,2,0,100,East Lynn,IL
60933,302,297,4,0,0,0,0,1,0,0,0,0,0,Elliott,IL
60934,273,264,0,1,7,0,0,0,1,0,0,0,0,Emington,IL
60935,1064,1023,2,2,4,1,0,12,20,613,21,613,0,Essex,IL
60936,4321,4177,21,5,16,0,4,46,52,4073,23,250,2293,Gibson City,IL
60938,2131,1805,5,4,7,0,1,21,288,857,12,657,200,Gilman,IL
60940,3369,3099,9,0,8,0,0,27,226,1559,7,0,1060,Grant Park,IL
60941,2039,1959,6,3,4,0,0,15,52,2430,23,225,1475,Herscher,IL
60942,6181,5489,44,10,17,0,1,33,587,1425,31,30,1152,Hoopeston,IL
60945,153,147,0,0,0,0,0,2,4,2220,6,0,2220,Iroquois,IL
60946,426,417,0,0,2,0,0,3,4,0,0,0,0,Kempton,IL
60948,1533,1465,14,2,3,0,0,23,26,2168,7,0,500,Loda,IL
