ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
10543,20135,13295,743,15,1030,5,74,286,4687,569705,844,402830,101095,Mamaroneck,NY
10545,141,137,1,0,1,0,0,0,2,1175,7,0,1175,Maryknoll,NY
10546,1277,1037,30,0,148,0,0,6,56,36681,192,13504,23125,Millwood,NY
10547,7647,5320,517,18,326,1,31,112,1322,20146,136,17803,590,Mohegan Lake,NY
10548,3487,2930,96,0,82,0,5,43,331,7624,96,5145,1180,Montrose,NY
10549,16638,10969,564,11,744,1,53,209,4087,493534,948,348326,86368,Mount Kisco,NY
10550,37144,3288,25757,145,527,25,630,952,5820,18917,92,2940,5435,Mount Vernon,NY
10552,19786,8630,6893,23,611,2,233,489,2905,61181,573,43723,12912,Mount Vernon,NY
10553,10170,370,8567,32,61,0,59,220,861,25638,64,15627,1500,Mount Vernon,NY
10560,4737,4238,40,8,73,1,9,35,333,80630,177,38004,28933,North Salem,NY
10562,31796,14600,4167,19,1413,6,129,388,11074,121896,1046,88332,17858,Ossining,NY
10566,23570,8435,5050,43,675,5,65,584,8713,18936,339,14147,2183,Peekskill,NY
10567,19929,14864,1136,21,852,3,43,320,2690,61990,454,38167,6773,Cortlandt Manor,NY
10570,12680,10297,399,3,671,1,35,155,1119,140746,597,102688,14341,Pleasantville,NY
10573,38352,16786,1681,60,986,1,232,357,18249,6597394,479,472578,61248,Port Chester,NY
10576,5116,4629,66,1,96,0,7,89,228,381197,545,158246,81950,Pound Ridge,NY
10577,6552,4693,387,9,549,5,19,148,742,750740,1004,285111,167325,Purchase,NY
10578,681,586,10,0,15,7,0,6,57,5000,2,0,5000,Purdys,NY
10579,8675,7500,135,7,165,0,21,122,725,33502,294,26176,5193,Putnam Valley,NY
10580,17208,14712,207,7,1002,1,27,214,1038,1542525,1375,803459,463067,Rye,NY
10583,38982,30303,731,18,5217,8,124,647,1934,2211633,2560,1046906,653908,Scarsdale,NY
10588,2282,1794,63,1,88,0,1,39,296,3634,27,2030,765,Shrub Oak,NY
10589,8475,7612,196,10,255,2,7,61,332,58226,394,26828,12846,Somers,NY
10590,6767,6084,72,4,152,1,21,107,326,62568,235,42215,15000,South Salem,NY
10591,22540,12058,1268,14,1301,4,88,307,7500,275329,1293,161048,35018,Tarrytown,NY
10594,5117,4238,181,2,206,0,9,42,439,17676,92,4469,11450,Thornwood,NY
10595,8195,5749,1014,5,480,8,30,122,787,35326,117,19687,4952,Valhalla,NY
10596,1729,1410,23,1,32,0,0,19,244,95,5,40,0,Verplanck,NY
10597,968,915,4,1,13,0,1,3,31,40529,77,27279,11950,Waccabuc,NY
10598,28647,24223,613,23,1316,5,42,307,2118,85837,546,47284,27037,Yorktown Heights,NY
