ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
48341,17139,4357,10559,64,225,0,30,464,1440,20487,115,10398,4635,Pontiac,MI
48342,18407,3109,11624,79,441,1,21,574,2558,15484,83,13679,1745,Pontiac,MI
48346,22567,20076,428,69,303,6,4,375,1306,52691,352,10651,28742,Clarkston,MI
48348,23387,21657,321,53,278,4,15,357,702,163403,522,13655,99458,Clarkston,MI
48350,7100,6669,82,12,68,0,4,71,194,12824,81,6724,3798,Davisburg,MI
48353,6481,6181,18,13,47,1,0,83,138,20361,86,1676,1365,Hartland,MI
48356,8407,8076,21,25,29,0,8,90,158,8245,63,4271,250,Highland,MI
48357,8170,7816,35,18,49,0,0,101,151,20503,170,2654,7160,Highland,MI
48359,8044,6721,355,28,192,6,5,141,596,13827,44,1466,1345,Lake Orion,MI
48360,11651,10364,368,21,361,0,9,163,365,18229,156,4235,9985,Lake Orion,MI
48362,15141,14090,180,34,190,0,6,191,450,34843,282,5095,20156,Lake Orion,MI
48363,4978,4571,97,6,149,1,15,42,97,52540,214,7754,23390,Oakland,MI
48367,4727,4433,24,15,32,0,6,53,164,4942,41,37,4450,Leonard,MI
48370,1685,1620,17,6,13,1,0,7,21,9380,71,1652,6550,Oxford,MI
48371,23155,21568,286,57,248,10,14,285,687,32235,259,12861,10481,Oxford,MI
48374,14049,10355,485,20,2592,0,8,253,336,130994,503,41519,41746,Novi,MI
48375,21801,15091,1766,39,3854,0,13,424,614,254955,355,17851,67308,Novi,MI
48377,15244,10329,1927,36,2081,1,17,271,582,56260,430,15182,11382,Novi,MI
48380,7404,6981,79,17,63,0,4,97,163,46809,260,9235,26382,Milford,MI
48381,12605,11873,85,39,127,4,28,173,276,25988,242,9191,6683,Milford,MI
48382,21945,20561,302,50,349,4,10,253,416,124750,361,17059,74631,Commerce Township,MI
48383,12701,11891,106,46,88,3,5,179,383,20192,112,3060,11363,White Lake,MI
48386,17434,16214,218,64,186,0,12,224,516,21605,309,5386,6569,White Lake,MI
48390,22898,20250,620,52,807,2,24,420,723,58570,299,15548,15109,Walled Lake,MI
48393,16111,12711,1513,43,676,1,18,288,861,13977,110,1016,9035,Wixom,MI
48397,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren,MI
48401,1439,1376,10,5,11,0,2,13,22,795,15,95,375,Applegate,MI
48411,156,150,4,0,0,0,0,1,1,0,0,0,0,Atlas,MI
48412,5682,5366,14,25,11,0,0,73,193,5925,23,195,3230,Attica,MI
48413,7551,7181,52,35,70,0,2,71,140,28591,83,1029,10236,Bad Axe,MI
48414,2492,2384,7,10,6,0,1,18,66,2659,15,2659,0,Bancroft,MI
48415,9471,8937,57,41,29,1,0,104,302,6796,43,1079,2085,Birch Run,MI
48416,5002,4784,9,18,8,0,0,65,118,4354,35,0,610,Brown City,MI
48417,2983,2741,21,19,6,2,2,42,150,3951,14,0,0,Burt,MI
48418,4312,4181,2,19,13,3,1,37,56,1630,31,379,498,Byron,MI
48419,2740,2596,2,10,9,0,0,38,85,2898,22,230,417,Carsonville,MI
48420,22078,20621,365,109,58,4,16,323,582,14574,146,7384,4190,Clio,MI
48421,6647,6355,13,33,8,0,0,69,169,4242,64,3335,907,Columbiaville,MI
48422,6400,5810,18,30,8,3,2,57,472,8860,83,60,1358,Croswell,MI
48423,32708,30099,701,146,212,5,36,504,1005,41969,648,14842,12653,Davison,MI
48426,1022,975,4,4,1,0,0,6,32,4949,8,0,0,Decker,MI
48427,2879,2706,3,10,8,0,3,28,121,9935,21,250,200,Deckerville,MI
48428,5027,4876,4,14,21,0,0,43,69,7826,39,641,6685,Dryden,MI
48429,8944,8566,24,62,16,6,2,84,184,8231,63,957,2141,Durand,MI
48430,36738,34768,253,110,286,5,14,485,817,99011,530,55068,24233,Fenton,MI
48432,636,604,1,2,2,0,0,8,19,4701,8,0,0,Filion,MI
48433,26497,23921,1203,126,226,9,15,382,615,68858,299,29687,8426,Flushing,MI
48434,104,94,0,2,0,0,0,1,7,227,2,227,0,Forestville,MI
48435,2083,2007,8,19,5,0,0,14,30,300,3,0,0,Fostoria,MI
48436,3764,3606,19,18,8,0,3,42,68,2496,52,811,1735,Gaines,MI
48437,581,532,28,1,0,0,0,1,19,0,0,0,0,Genesee,MI
48438,6951,6685,43,15,28,2,0,45,133,14641,101,9549,850,Goodrich,MI
48439,49209,40476,4660,162,1558,11,43,959,1340,120185,718,65969,22856,Grand Blanc,MI
48440,157,142,0,1,1,0,0,7,6,270,4,270,0,Hadley,MI
48441,4085,3950,8,15,29,0,2,42,39,39588,102,1248,900,Harbor Beach,MI
48442,20669,18961,424,97,256,5,11,273,642,15838,185,4032,5780,Holly,MI
48444,9327,7644,43,21,41,0,1,131,1446,5094,45,977,4057,Imlay City,MI
48445,1370,1328,1,8,9,0,0,5,19,1071,8,0,155,Kinde,MI
48446,30749,28452,724,165,149,3,6,368,882,19451,241,10126,8380,Lapeer,MI
48449,3147,2934,17,23,7,4,2,47,113,3320,55,3279,0,Lennon,MI
48450,4780,4625,10,15,11,0,3,28,88,1605,14,148,1040,Lexington,MI
48451,14767,14090,62,76,73,8,9,212,237,14844,137,8242,1465,Linden,MI
48453,5146,4884,14,15,22,0,0,45,166,10537,82,1324,4344,Marlette,MI
48454,1324,1289,4,4,3,0,0,8,16,565,5,0,100,Melvin,MI
48455,7974,7688,27,17,38,0,7,57,140,20597,149,2084,12878,Metamora,MI
48456,858,839,0,1,2,0,0,5,11,14844,27,300,0,Minden City,MI
48457,8436,7850,138,53,12,0,7,114,262,2368,47,1635,525,Montrose,MI
48458,20538,13889,5230,119,47,3,25,543,682,4415,135,3345,535,Mount Morris,MI
48460,2330,2260,12,3,12,0,1,16,26,2376,12,0,1405,New Lothrop,MI
48461,8428,8056,30,17,6,3,0,75,241,4752,30,163,1700,North Branch,MI
48462,13266,12594,96,42,139,3,6,129,257,11446,211,2782,4126,Ortonville,MI
48463,4627,4407,80,17,4,0,4,45,70,1695,21,535,610,Otisville,MI
48464,2231,2117,7,26,5,1,0,24,51,650,11,0,645,Otter Lake,MI
48465,629,605,2,2,1,0,0,4,15,1132,4,0,0,Palms,MI
48466,1578,1481,12,11,1,2,0,16,55,5166,16,208,500,Peck,MI
48467,2337,2267,4,2,7,4,0,15,38,4806,18,500,3515,Port Austin,MI
48468,1294,1214,2,12,1,0,0,12,53,4803,17,900,750,Port Hope,MI
48469,1245,1192,3,8,2,0,3,19,18,864,16,0,784,Port Sanilac,MI
48470,784,753,17,0,0,0,0,5,9,15648,18,0,0,Ruth,MI
48471,5745,5397,47,12,41,2,3,47,196,24327,46,440,5585,Sandusky,MI
48472,1912,1839,1,10,0,0,2,7,53,14522,20,50,3750,Snover,MI
48473,22507,20709,695,64,141,3,7,310,578,13893,270,9126,2692,Swartz Creek,MI
48475,2766,2722,5,4,2,0,2,11,20,21957,26,0,250,Ubly,MI
48476,577,552,1,4,0,0,3,1,16,0,0,0,0,Vernon,MI
48502,1164,553,554,1,11,0,3,14,28,6250,17,2000,2000,Flint,MI
48503,25168,10413,12569,118,222,5,53,935,853,38288,256,24946,3683,Flint,MI
48504,30926,7913,21146,121,91,5,43,924,683,7549,90,4645,120,Flint,MI
48505,25710,2566,21670,109,14,2,32,678,639,5535,10,5475,0,Flint,MI
48506,30019,23504,3112,223,116,3,21,978,2062,5201,70,2045,751,Flint,MI
48507,30607,21335,6672,156,155,13,24,1011,1241,56768,305,27915,11897,Flint,MI
48509,9470,8604,311,50,51,2,6,140,306,14017,133,12325,1002,Burton,MI
48519,7465,6294,722,41,41,0,2,141,224,3610,45,2695,851,Burton,MI
48529,10271,8507,974,78,35,4,6,326,341,1502,33,1259,250,Burton,MI
48532,19375,11528,6152,101,480,1,26,568,519,42863,258,15322,4365,Flint,MI
48551,0,0,0,0,0,0,0,0,0,0,0,0,0,Flint,MI
48553,0,0,0,0,0,0,0,0,0,0,0,0,0,Flint,MI
48554,0,0,0,0,0,0,0,0,0,0,0,0,0,Flint,MI
48601,38406,9527,23230,164,65,4,33,816,4567,27502,113,2585,8665,Saginaw,MI
48602,30119,18149,6428,90,131,7,54,861,4399,27288,150,8944,8616,Saginaw,MI
48603,26913,21297,2293,48,1129,26,32,431,1657,96960,411,11308,17121,Saginaw,MI
48604,13074,10385,1212,39,168,2,10,223,1035,9016,47,897,-1049,Saginaw,MI
48607,1774,252,1274,10,6,0,3,20,209,1950,4,50,0,Saginaw,MI
48609,12461,11652,100,28,93,1,6,100,481,46064,176,5288,35835,Saginaw,MI
48610,3083,2925,8,47,16,0,0,41,46,634,41,550,0,Alger,MI
48611,6554,6293,19,23,33,2,5,37,142,3448,11,100,425,Auburn,MI
48612,9259,8964,24,36,18,1,0,72,144,8757,61,514,2870,Beaverton,MI
